state_id,episode,seed,step,teacher_macro,num_candidates,beneficial_candidates,regret_candidates,teacher_reward,teacher_success,teacher_cost_ratio
ep10_step14_seed10,10,,14,decompose_shallow,1,1,0,-44.43487189233778,False,0.7053030303030303
ep10_step15_seed10,10,,15,direct_solve,3,3,0,-45.159129470069594,False,0.7053030303030303
ep10_step16_seed10,10,,16,direct_solve,1,0,0,-17.039138185496682,False,0.6613636363636364
ep10_step17_seed10,10,,17,direct_solve,2,2,0,-40.58090065365928,False,0.7053030303030303
ep10_step18_seed10,10,,18,decompose_shallow,1,1,0,-29.771330257052405,False,0.7053030303030303
ep10_step19_seed10,10,,19,direct_solve,3,3,0,-30.459039078988376,False,0.7053030303030303
ep10_step20_seed10,10,,20,direct_solve,1,1,0,-30.151010611869683,False,0.7053030303030303
ep10_step21_seed10,10,,21,direct_solve,2,2,0,-25.829097070438362,False,0.7053030303030303
ep11_step0_seed11,11,,0,research_context,3,1,2,-22.246691327920498,False,0.6401515151515151
ep11_step1_seed11,11,,1,direct_solve,2,0,2,-25.496387555188775,False,0.6401515151515151
ep11_step2_seed11,11,,2,direct_solve,2,0,2,-40.785308628190876,False,0.6840909090909091
ep11_step3_seed11,11,,3,direct_solve,3,1,2,-31.415861011849664,False,0.6401515151515151
ep11_step4_seed11,11,,4,direct_solve,3,2,1,-47.72178504876443,False,0.6840909090909091
ep11_step5_seed11,11,,5,direct_solve,3,2,1,-53.612180380564354,False,0.6840909090909091
ep11_step6_seed11,11,,6,direct_solve,3,2,1,-57.43703612886014,False,0.6840909090909091
ep11_step7_seed11,11,,7,direct_solve,3,1,2,-61.09400361404036,False,0.6840909090909091
ep11_step8_seed11,11,,8,research_context,3,0,3,-50.71341690450979,False,0.6613636363636364
ep11_step9_seed11,11,,9,direct_solve,3,1,2,-51.88182969948736,False,0.6401515151515151
ep11_step10_seed11,11,,10,direct_solve,3,3,0,-69.3269492785537,False,0.6840909090909091
ep11_step11_seed11,11,,11,direct_solve,3,2,1,-61.19203685127281,False,0.6613636363636364
ep11_step12_seed11,11,,12,direct_solve,2,2,0,-66.87039414460111,False,0.6840909090909091
ep11_step13_seed11,11,,13,direct_solve,2,2,0,-46.73467236724599,False,0.6613636363636364
ep11_step14_seed11,11,,14,decompose_shallow,1,1,0,-31.705540368864597,False,0.6401515151515151
ep11_step15_seed11,11,,15,direct_solve,3,1,2,-32.45579804080328,False,0.6401515151515151
ep11_step16_seed11,11,,16,direct_solve,1,1,0,-44.35566238856776,False,0.6840909090909091
ep11_step17_seed11,11,,17,direct_solve,2,2,0,-40.067658255130766,False,0.6840909090909091
ep11_step18_seed11,11,,18,decompose_shallow,1,1,0,-29.267490225441506,False,0.6840909090909091
ep11_step19_seed11,11,,19,direct_solve,3,3,0,-29.94755495218184,False,0.6840909090909091
ep11_step20_seed11,11,,20,direct_solve,1,1,0,-29.64751673913183,False,0.6840909090909091
ep11_step21_seed11,11,,21,direct_solve,2,2,0,-25.332413277086467,False,0.6840909090909091
ep11_step22_seed11,11,,22,decompose_shallow,1,0,1,-14.509309304826898,False,0.6840909090909091
ep12_step0_seed12,12,,0,research_context,3,3,0,-51.49698056133457,False,0.6227272727272727
ep12_step1_seed12,12,,1,direct_solve,2,1,1,-50.46420209230065,False,0.6666666666666666
ep12_step2_seed12,12,,2,direct_solve,2,0,2,-57.683503384359774,False,0.6666666666666666
ep12_step3_seed12,12,,3,direct_solve,3,1,2,-54.491630137172834,False,0.6227272727272727
ep12_step4_seed12,12,,4,direct_solve,3,2,1,-66.59827819240721,False,0.6666666666666666
