accuracy,precision,recall,f1,log_loss,roc_auc,target,split,model,feature_mode,rmse,mae,r2
1.0,1.0,1.0,1.0,0.0018596143326629544,1.0,failed,test,rf,text_metadata,,,
0.940625,1.0,0.75,0.8571428571428571,0.23200784141251607,0.9978609433419615,failed,val,gb,text_metadata,,,
0.9364583333333333,1.0,0.7324561403508771,0.8455696202531645,0.23553661171726623,0.9967644521138913,failed,test,gb,text_metadata,,,
0.978125,1.0,0.8173913043478261,0.8995215311004785,0.09836126008314455,0.9994751736557757,dropped,val,log_reg,text_metadata,,,
0.984375,1.0,0.8695652173913043,0.9302325581395349,0.09323042152912547,0.9994751736557757,dropped,test,log_reg,text_metadata,,,
1.0,1.0,1.0,1.0,0.0007300900881977976,1.0,dropped,val,rf,text_metadata,,,
1.0,1.0,1.0,1.0,0.0006348295634259847,1.0,dropped,test,rf,text_metadata,,,
0.9947916666666666,1.0,0.9565217391304348,0.9777777777777777,0.0817501107922132,1.0,dropped,val,gb,text_metadata,,,
0.9958333333333333,1.0,0.9652173913043478,0.9823008849557522,0.08470833634470046,1.0,dropped,test,gb,text_metadata,,,
0.9854166666666667,0.9851351351351352,0.9959016393442623,0.9904891304347826,0.17380374536421558,0.9993888409548461,has_winner,val,log_reg,text_metadata,,,
0.975,0.972,0.9959016393442623,0.9838056680161943,0.17449386971288777,0.9992090882945067,has_winner,test,log_reg,text_metadata,,,
1.0,1.0,1.0,1.0,0.0012924689222773096,1.0,has_winner,val,rf,text_metadata,,,
1.0,1.0,1.0,1.0,0.0012517343026343395,1.0,has_winner,test,rf,text_metadata,,,
0.9239583333333333,0.9093167701863354,1.0,0.9525048796356539,0.22954282308497423,0.9990353273895121,has_winner,val,gb,text_metadata,,,
0.9302083333333333,0.9161451814768461,1.0,0.9562377531025473,0.2269949987180155,0.9975823267184354,has_winner,test,gb,text_metadata,,,
,,,,,,num_submissions,val,rf_reg,text_metadata,0.0872632213000796,0.021557291666666676,0.9997726291807494
,,,,,,num_submissions,test,rf_reg,text_metadata,0.09683103841227768,0.022270833333333327,0.9997201900187536
,,,,,,num_submissions,val,gb_reg,text_metadata,2.967652328019177,2.405375740226105,0.7370347960769568
